Category,Sub Category,Product,Price,Stars_and_Count,,,,
Industrial & Scientific,Electronics,"3-Pack [3.3FT+6.6FT+10FT] 60W USB C to USB C Cable, Type C to Type C Cable,Fast Charging Cable for iPhone 16 15 Pro Plus Pro MaxÔºåfor Galaxy S25 S24, for iPad Pro/Air, for MacBook Pro/Air and More",$9.99 ,"4.6 out of 5 stars 3,277  ",,,,
Arts & Crafts,"Arts, Crafts & Sewing","3-Pack 8"" Heavy Duty Scissors with Ultra Sharp Blades and Comfort Grip Handles - For Office, Home, School, Sewing, and Crafts",$9.99 ,"4.8 out of 5 stars 84,994  ",,,,
Industrial & Scientific,Appliances,3Pack Pre Filters Replacement for Dyson - Vacuum Filter Compatible with Dyson V6 V7 V8 DC59 DC58 Replaces Part 965661 01 (3 Pack),$9.99 ,"4.8 out of 5 stars 3,306  ",,,,
Pet Supplies,Home & Kitchen,"3-Piece Dog Bone Cookie Cutters Set (2.36''/3.14''/3.9'') - Coated with Soft PVC for Protection, Non-Slip Baking Tools for Dog Treats & Cookies.By ENBRWAS",$5.99 ,4.7 out of 5 stars 29  ,,,,
Industrial & Scientific,Cell Phones & Accessories,"4 Pack [Apple MFi Certified] Apple Charging Cables 6ft, iPhone Chargers, Lightning Fast iPhone Charging Cord for iPhone 12/11/11Pro/11Max/ X/XS/XR/XS Max/8/7, ipad(White)",$9.99 ,"4.5 out of 5 stars 14,113  ",,,,
Industrial & Scientific,Musical Instruments,"4 Pack 1/4"" TRS to XLR Adapter, Balanced Quarter Inch 6.35mm Male to XLR Male Adapters",$9.99 ,4.6 out of 5 stars 131  ,,,,
Baby,Pet Supplies,"4 Pack 36‚Ä?x 36‚Ä?Extra Heavy Absorbency Washable Underpads, Waterproof Quick Drying Nursing Pads Incontinence Bed Pads, Reusable Washable Pee Pads for Dogs, Diaper Changing & Adults",$29.99 ,"4.7 out of 5 stars 1,845  ",,,,
Health & Household,Pet Supplies,"4 Pack 36‚Ä?x 36‚Ä?Extra Heavy Absorbency Washable Underpads, Waterproof Quick Drying Nursing Pads Incontinence Bed Pads, Reusable Washable Pee Pads for Dogs, Diaper Changing & Adults",$29.99 ,"4.7 out of 5 stars 1,845  ",,,,
Pet Supplies,Baby Products,"4 Pack 36‚Ä?x 36‚Ä?Extra Heavy Absorbency Washable Underpads, Waterproof Quick Drying Nursing Pads Incontinence Bed Pads, Reusable Washable Pee Pads for Dogs, Diaper Changing & Adults",$29.99 ,"4.7 out of 5 stars 1,845  ",,,,
Pet Supplies,Health & Household,"4 Pack 36‚Ä?x 36‚Ä?Extra Heavy Absorbency Washable Underpads, Waterproof Quick Drying Nursing Pads Incontinence Bed Pads, Reusable Washable Pee Pads for Dogs, Diaper Changing & Adults",$29.99 ,"4.7 out of 5 stars 1,845  ",,,,
Pet Supplies,Home & Kitchen,"4 Pack 36‚Ä?x 36‚Ä?Extra Heavy Absorbency Washable Underpads, Waterproof Quick Drying Nursing Pads Incontinence Bed Pads, Reusable Washable Pee Pads for Dogs, Diaper Changing & Adults",$29.99 ,"4.7 out of 5 stars 1,845  ",,,,
Baby,Pet Supplies,"4 Pack 8MM Baby Gate Threaded Spindle Rod, Replacement Hardware Parts Kit for Pet & Dog Pressure Mounted Safety Gates - Extra Long Wall Mounting Accessories Screws Rods Adapter Bolts Black",$7.99 ,"4.7 out of 5 stars 11,531  ",,,,
